"Source","Statistic","Reported.Comparison","Reported.P.Value","Raw"
"254","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","=",0.84,"p = .84"
"255","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","=",0.001,"p = .001"
"256","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","=",0.007,"p = .007"
"257","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","=",0.96,"p = .96"
"258","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","<",0.05,"p < .05"
"259","Alex M. Susskind, Mark A. Bonn, Benjamin C. Lawrence, H. Leslie Furr, 2016","p","<",0.05,"p < .05"
"260","Alexander W. Schmidt-Catran, Dennis C. Spies, 2016","p","<",0.001,"p < .001"
"261","Alexander W. Schmidt-Catran, Dennis C. Spies, 2016","p","=",0.005,"p = .005"
"262","Alexander W. Schmidt-Catran, Dennis C. Spies, 2016","p","<",0.001,"p < .001"
"263","Alexander W. Schmidt-Catran, Dennis C. Spies, 2016","p","<",0.05,"p < .05"
"264","Alexander W. Schmidt-Catran, Dennis C. Spies, 2016","p","<",0.01,"p < .01"
"265","Alexander W. Schmidt-Catran, Dennis C. Spies, 2016","p","<",0.001,"p < .001"
"266","Alexandra Kalev, 2014","p","<",0.0001,"p < .0001"
"267","Alexandra Kalev, 2014","p","<",0.05,"p < .05"
"268","Alexandra Kalev, 2014","p","<",0.01,"p < .01"
"269","Alexandra Kalev, 2014","p","<",0.001,"p < .001"
"270","Alexandra Kalev, 2014","p","<",0.0001,"p < .0001"
"271","Alexandra Kalev, 2014","p","<",0.05,"p < .05"
"272","Alexandra Kalev, 2014","p","<",0.01,"p < .01"
"273","Alexandra Kalev, 2014","p","<",0.001,"p < .001"
"274","Alexandra Kalev, 2014","p","<",0.05,"p < .05"
"275","Alexandra Kalev, 2014","p","<",0.01,"p < .01"
"276","Alexandra Kalev, 2014","p","<",0.001,"p < .001"
"277","Alexandra Killewald, 2016","p","<",0.05,"p < .05"
"278","Alexandra Killewald, 2016","p","<",0.01,"p < .01"
"279","Alexandra Killewald, 2016","p","<",0.001,"p < .001"
"280","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.05,"p < .05"
"281","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.01,"p < .01"
"282","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.001,"p < .001"
"283","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.05,"p < .05"
"284","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.01,"p < .01"
"285","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.001,"p < .001"
"286","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.05,"p < .05"
"287","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.01,"p < .01"
"288","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.001,"p < .001"
"289","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.05,"p < .05"
"290","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.01,"p < .01"
"291","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.001,"p < .001"
"292","Amanda J. Sharkey, Patricia Bromley, 2015","p","=",0.6,"p = .60"
"293","Amanda J. Sharkey, Patricia Bromley, 2015","p","=",0.47,"p = .47"
"294","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.001,"p < .001"
"295","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.01,"p < .01"
"296","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.01,"p < .01"
"297","Amanda J. Sharkey, Patricia Bromley, 2015","p","=",0.5,"p = .50"
"298","Amanda J. Sharkey, Patricia Bromley, 2015","p","=",0.44,"p = .44"
"299","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.01,"p < .01"
"300","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.01,"p < .01"
"301","Amanda J. Sharkey, Patricia Bromley, 2015","p","<",0.01,"p < .01"
"302","Amanda J. Sharkey, Patricia Bromley, 2015","p","=",0.83,"p = .83"
"303","Amanda J. Sharkey, Patricia Bromley, 2015","p","=",0.02,"p = .02"
"304","Amanda J. Sharkey, Patricia Bromley, 2015","p","=",0.37,"p = .37"
"305","Amanda J. Sharkey, Patricia Bromley, 2015","p","=",0.36,"p = .36"
"306","Ambivalence in Older Parent–Adult Child Relationships  Mixed Feelings, Mixed Measures - Lendon - 2014","p","<",0.001,"p < .001"
"307","Ambivalence in Older Parent–Adult Child Relationships  Mixed Feelings, Mixed Measures - Lendon - 2014","p","<",0.05,"p < .05"
"308","Ambivalence in Older Parent–Adult Child Relationships  Mixed Feelings, Mixed Measures - Lendon - 2014","p","<",0.01,"p < .01"
"309","Ambivalence in Older Parent–Adult Child Relationships  Mixed Feelings, Mixed Measures - Lendon - 2014","p","<",0.001,"p < .001"
"310","Ambivalence in Older Parent–Adult Child Relationships  Mixed Feelings, Mixed Measures - Lendon - 2014","p","<",0.05,"p < .05"
"311","Amir Goldberg, Michael T. Hannan, Balázs Kovács, 2016","p","<",0.001,"p < .001"
"312","Amir Goldberg, Michael T. Hannan, Balázs Kovács, 2016","p","<",0.001,"p < .001"
"313","Amir Goldberg, Michael T. Hannan, Balázs Kovács, 2016","p","<",0.1,"p < .10"
"314","Amir Goldberg, Michael T. Hannan, Balázs Kovács, 2016","p","<",0.05,"p < .05"
"315","Amir Goldberg, Michael T. Hannan, Balázs Kovács, 2016","p","<",0.01,"p < .01"
"316","Amir Goldberg, Michael T. Hannan, Balázs Kovács, 2016","p","<",0.001,"p < .001"
"317","Amir Goldberg, Michael T. Hannan, Balázs Kovács, 2016","p","<",0.1,"p < .10"
"318","Amir Goldberg, Michael T. Hannan, Balázs Kovács, 2016","p","<",0.05,"p < .05"
"319","Amir Goldberg, Michael T. Hannan, Balázs Kovács, 2016","p","<",0.01,"p < .01"
"320","Amir Goldberg, Michael T. Hannan, Balázs Kovács, 2016","p","<",0.001,"p < .001"
"321","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.05,"p < .05"
"322","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.01,"p < .01"
"323","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.001,"p < .001"
"324","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.05,"p < .05"
"325","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.01,"p < .01"
"326","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.001,"p < .001"
"327","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.05,"p < .05"
"328","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.01,"p < .01"
"329","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.001,"p < .001"
"330","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.05,"p < .05"
"331","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.01,"p < .01"
"332","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.001,"p < .001"
"333","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.1,"p < .10"
"334","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.05,"p < .05"
"335","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.01,"p < .01"
"336","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.001,"p < .001"
"337","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.1,"p < .10"
"338","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.05,"p < .05"
"339","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.01,"p < .01"
"340","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","<",0.001,"p < .001"
"341","Amir Goldberg, Sameer B. Srivastava, V. Govind Manian, William Monroe, Christopher Potts, 2016","p","ns",NA,"(NS"
"342","An Age–Period–Cohort Analysis of Political Tolerance in the United States - Schwadel","p","<",0.05,"p < .05"
"343","An Age–Period–Cohort Analysis of Political Tolerance in the United States - Schwadel","p",">",0.05,"p > .05"
"344","An Age–Period–Cohort Analysis of Political Tolerance in the United States - Schwadel","p","<",0.05,"p < .05"
"345","An Analysis of Consumers’ Reactions to Travel Websites’ Discrimination by Computer Platform - Mattila, Choi, 2014","p","<",0.05,"p < .05"
"346","An Analysis of Consumers’ Reactions to Travel Websites’ Discrimination by Computer Platform - Mattila, Choi, 2014","p","<",0.05,"p < .05"
"347","An Analysis of Consumers’ Reactions to Travel Websites’ Discrimination by Computer Platform - Mattila, Choi, 2014","p","<",0.05,"p < .05"
"348","An Analysis of Consumers’ Reactions to Travel Websites’ Discrimination by Computer Platform - Mattila, Choi, 2014","p","<",0.05,"p < .05"
"349","An Analysis of Consumers’ Reactions to Travel Websites’ Discrimination by Computer Platform - Mattila, Choi, 2014","p","<",0.01,"p < .01"
"350","An Analysis of Consumers’ Reactions to Travel Websites’ Discrimination by Computer Platform - Mattila, Choi, 2014","p","<",0.05,"p < .05"
"351","An Analysis of Consumers’ Reactions to Travel Websites’ Discrimination by Computer Platform - Mattila, Choi, 2014","p","<",0.001,"p < .001"
"352","An Analysis of Consumers’ Reactions to Travel Websites’ Discrimination by Computer Platform - Mattila, Choi, 2014","p","<",0.001,"p < .001"
"353","An Analysis of Consumers’ Reactions to Travel Websites’ Discrimination by Computer Platform - Mattila, Choi, 2014","p","<",0.001,"p < .001"
"354","An Analysis of Consumers’ Reactions to Travel Websites’ Discrimination by Computer Platform - Mattila, Choi, 2014","p","<",0.05,"p < .05"
"355","An Analysis of Consumers’ Reactions to Travel Websites’ Discrimination by Computer Platform - Mattila, Choi, 2014","p","<",0.05,"p < .05"
"356","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.05,"p < .05"
"357","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.05,"p < .05"
"358","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p",">",0.1,"p > .10"
"359","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.01,"p < .01"
"360","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.01,"p < .01"
"361","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.05,"p < .05"
"362","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.01,"p < .01"
"363","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.01,"p < .01"
"364","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.01,"p < .01"
"365","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.01,"p < .01"
"366","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.01,"p < .01"
"367","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p",">",0.1,"p > .10"
"368","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p",">",0.1,"p > .10"
"369","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.01,"p < .01"
"370","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.01,"p < .01"
"371","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.01,"p < .01"
"372","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.01,"p < .01"
"373","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.01,"p < .01"
"374","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","=",0.05,"p = .05"
"375","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","=",0.01,"p = .01"
"376","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","=",0.07,"p = .07"
"377","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","=",0.93,"p = .93"
"378","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","=",0.03,"p = .03"
"379","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","=",0.08,"p = .08"
"380","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","=",0.02,"p = .02"
"381","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","=",0.06,"p = .06"
"382","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","=",0.87,"p = .87"
"383","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.01,"p < .01"
"384","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.1,"p < .10"
"385","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.1,"p < .10"
"386","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.05,"p < .05"
"387","An Investigation into the Relationship between Hospitality Employees’ Work–Family Conflicts... - Zhao, Qu, Liu, 2014","p","<",0.01,"p < .01"
"388","And Their Children after Them  The Effect of College on Educational Reproduction","p","",0.05,"P < .05"
"389","And Their Children after Them  The Effect of College on Educational Reproduction","p","",0.01,"P < .01"
"390","And Their Children after Them  The Effect of College on Educational Reproduction","p","",0.001,"P < .001"
"391","And Their Children after Them  The Effect of College on Educational Reproduction","p","",0.01,"P < .01"
